deformation,vanderwaals,h_bonds,hydrophobic_contacts,protein_asa,ligand_asa,experimental_pkD
1a22,1775.08,-3259.34,27.5,20,9921.3,10655.9,9.4700003
1abt,1087.6,-1393.5,11.5,12,5069.7,1203.4,5.8538718
1acb,1389.08,-1793.05,10.5,11,10665.0,4239.3,9.6999998
1an1,1193.46,-1541.4,14,12,9479.7,2928.5,9.0500002
1atn,1345.51,-2185.05,15.5,9,17115.6,10481.4,9.3500004
1avp,1218.85,-1221.56,18,18,10141.0,1756.4,7.9200001
1avx,1486.92,-2379.28,17,11,9413.9,8746.2,13.22
1axi,1464.69,-2833.82,24,12,9667.3,10950.3,7.8499999
1ay7,918.817,-1463.29,12,13,5580.2,4956.5,6
1aze,598.626,-1003.54,13,6,3965.3,1815.1,4.2199998
1azg,555.956,-1065.81,8.5,1,1915.8,4029.3,4.7958798
1bjr,1640.71,-926.89,10.5,15,10277.1,1031.1,7.6799998
1buh,806.823,-1573.31,10,6,14404.9,4814.7,7.1100001
1bvn,1684.93,-2803.52,16,10,18182.4,4371.4,11.05
1bxl,1119.96,-2504.21,24.5,4,11774.0,2021.5,6.4685211
1c9p,1037.24,-1551.11,13,9,9490.0,3688.0,9
1cka,980.433,-658.214,19.5,6,4049.6,1344.3,5.7199998
1ckb,799.081,-562.604,12,5,3988.4,1117.5,5.2800002
1clv,1383.87,-2145.86,20,11,16836.5,2379.4,9
1cwb,884.697,-925.247,11,6,7620.1,1261.2,7.8860559
1cwc,930.028,-932.661,9,6,7610.6,1248.1,7.8000002
1cyn,946.204,-943.008,8,5,8662.0,1232.2,7.6799998
1czq,547.7,-421.717,3.5,0,4839.9,1649.0,4.5376019
1d4t,1448.93,-1186,14.5,11,6543.8,1712.2,6.1870871
1d6r,797.056,-1540.87,15.5,12,9160.8,4317.0,9.8900003
1ddm,794.495,-1821.25,12,6,8487.9,1599.3,5.77
1dfj,1028.18,-3122.95,10.5,12,7053.5,19311.7,13.23
1dhk,1907.77,-4646.24,19,12,18169.5,9186.5,10.46
1djs,1862.32,-2863.3,29,15,12872.8,6974.3,7.3899999
1dp5,1861.09,-2545.82,25.5,9,14400.9,3127.3,9.0500002
1dpj,1838.3,-2544.07,25,10,14529.7,2926.6,8.5228786
1dpu,653.665,-1266.85,23,11,4402.5,2075.7,6
1e96,681.425,-1559.1,13,10,9300.9,10104.5,5.5700002
1ees,3569.21,-5941.92,56,30,11359.6,5980.2,7.6999998
1ej4,1014.44,-1111.68,16.5,10,9490.8,1787.0,7.3000002
1eja,1170.5,-1680.5,18,11,9569.9,4071.0,9
1emv,1171.95,-1568.4,21,12,5410.4,7600.5,13.62
1eoj,1997.44,-1910.59,32,7,12643.4,2376.7,13.77
1eol,1939.87,-1898.3,30.5,8,12625.1,2424.2,13.42
1es0,4765.01,-6099.08,52,44,11586.2,12376.3,7.0999999
1f34,1805.8,-3562.39,30.5,14,13742.0,9044.0,10
1f3v,806.122,-1896.93,14.5,9,8344.8,9323.4,5.1100001
1f47,859.025,-909.173,7.5,2,8499.5,1906.7,4.6655459
1f5r,1048.91,-1640.82,17,13,9455.8,3941.1,4.1900001
1f7z,979.97,-1539.48,16,10,9198.0,3849.5,4.9099998
1fc2,881.244,-1282.31,9.5,6,3402.8,12502.6,7.6500001
1ff1,902.792,-1206.58,7,2,5654.8,937.2,4.9208188
1fle,1310.61,-1680.29,21.5,12,10753.7,3577.0,8.2200003
1fmo,1336.2,-1741.2,25,19,16291.3,2367.6,8.6400003
1fy8,1116.14,-1645.45,20.5,13,9392.2,3844.2,5.0500002
1g0v,1800.26,-2458.51,26.5,10,14487.0,2936.4,10
1g1e,1190.85,-2736.64,25.5,3,2039.7,6825.7,7.5376019
1g5j,1817.22,-3833.42,29.5,2,10623.6,3383.1,9.2218475
1g6v,641.416,-1584.14,11,11,11485.4,6043.9,7.1399999
1g9i,1172.89,-1559.32,22,15,9021.5,2104.7,6.9208188
1gag,1078.94,-1156.6,17,7,15636.1,1563.4,6.1199999
1gbq,886.473,-1207.98,19,2,4229.0,1882.9,2.46
1gl0,1313,-1769.66,22,11,2600.4,10475.8,9.1000004
1gla,684.222,-1548.74,6,5,8443.2,18600.4,6.7399998
1grn,1319.25,-2576.57,21.5,13,10538.7,10088.0,6.4099998
1gua,732.359,-1340.76,18,12,8959.3,5038.9,7.4000001
1guw,901.03,-1610.16,21,7,2611.1,6828.8,5.7212458
1h0t,2397.73,-3403.74,40,10,4154.4,4054.9,5.2199998
1h1v,1155.32,-2911.43,17.5,12,16197.2,17099.9,7.6399999
1h3h,983.289,-1310.03,21,5,4416.8,1563.2,6.657578
1h59,718.426,-827.32,9.5,3,3982.5,3545.4,7.4299998
1h6e,879.321,-883.43,11,6,12855.6,1379.0,6.154902
1haa,1078.03,-1886.44,18.5,7,5665.1,1648.6,8.6989698
1he8,734.06,-1930.79,9,9,34212.0,8228.5,5.5999999
1i3z,1375.08,-1222.29,16,15,6302.5,1657.3,6.8827291
1i4e,1206.43,-2040.21,20,11,16194.4,12770.1,6.9208188
1i8h,227.197,-633.63,5.5,1,1903.2,3658.6,4.5376019
1idg,530.272,-1231.4,11.5,3,5803.7,2834.7,7.1870871
1irs,1218.85,-2117.98,17,5,7124.7,1676.6,5.221849
1iwq,2037.21,-1937.77,33,10,8740.6,2246.9,8.0555172
1j19,1046.63,-1065.06,14.5,10,17276.7,2054.8,7.7851558
1j2j,919.746,-1158.89,10,3,8537.9,3761.7,5.8499999
1j4p,252.894,-979.028,9,5,9908.6,2136.3,4.9899998
1j4q,251.51,-1006.15,7.5,6,9895.9,1914.8,6.4400001
1j7d,1199.21,-1535.97,23.5,5,8156.1,8624.7,5.6989698
1j7v,1016.96,-1756.15,17,9,12363.0,11618.3,10.46
1j7z,1047.49,-1171.74,14.5,11,1658.7,6143.4,7.6989698
1j80,1051.86,-1180.69,16.5,10,1705.9,6166.9,6.5228791
1j81,1061.81,-1171.82,15,10,1706.8,6232.0,7.09691
1jbd,1266.72,-1987.18,14,9,5800.5,1713.2,6.9208188
1jgn,1244.76,-2623.44,25.5,6,7211.1,2904.9,6.4559321
1jh4,1622.59,-2733.21,23,8,7877.9,3211.1,5.8239088
1jiw,1399.8,-2504.93,19.5,17,18941.0,5989.2,11.4
1jm4,519.376,-1075.03,9,8,2034.7,7630.4,5
1jmq,766.2,-977.33,9.5,3,4028.4,1421.6,4.4000001
1jsp,298.612,-891.618,15.5,2,3012.4,8099.9,4.3010302
1jtd,1314.18,-2871.07,5,7,11033.3,10404.7,10.57
1k3n,254.096,-920.652,8.5,5,9873.6,2205.3,4.9913998
1k3q,291.62,-982.9,9.5,4,10345.1,2090.6,6.5228791
1ka7,1045.98,-2061.85,19.5,4,7225.4,2094.1,6.2199998
1kac,789.134,-1649.25,10,7,8739.3,6889.8,7.8299999
